Offset 000221: arquivo1 = 7B | arquivo2 = 7C
Offset 000222: arquivo1 = D5 | arquivo2 = D7
Offset 000224: arquivo1 = 26 | arquivo2 = 24
Offset 000225: arquivo1 = DE | arquivo2 = DC
Offset 000226: arquivo1 = FA | arquivo2 = 88
Offset 000227: arquivo1 = D7 | arquivo2 = D2
Offset 000228: arquivo1 = FC | arquivo2 = 8E
Offset 000229: arquivo1 = 5E | arquivo2 = 59
Offset 00022A: arquivo1 = 73 | arquivo2 = 70
Offset 00022C: arquivo1 = 1C | arquivo2 = 1E
Offset 00022D: arquivo1 = B8 | arquivo2 = BB
Offset 00022E: arquivo1 = 5F | arquivo2 = 2D
Offset 00022F: arquivo1 = 34 | arquivo2 = 31
Offset 000230: arquivo1 = 72 | arquivo2 = 00
Offset 000231: arquivo1 = 87 | arquivo2 = 80
Offset 000232: arquivo1 = B9 | arquivo2 = BD
Offset 000234: arquivo1 = 0F | arquivo2 = 0D
Offset 000235: arquivo1 = B9 | arquivo2 = BD
Offset 000236: arquivo1 = DC | arquivo2 = AE
Offset 000237: arquivo1 = E5 | arquivo2 = E0
Offset 000238: arquivo1 = 56 | arquivo2 = 24
Offset 000239: arquivo1 = E4 | arquivo2 = E3
Offset 00023A: arquivo1 = C8 | arquivo2 = CD
Offset 00023C: arquivo1 = F7 | arquivo2 = F5
Offset 00023D: arquivo1 = D9 | arquivo2 = DC
Offset 00023E: arquivo1 = 2B | arquivo2 = 59
Offset 00023F: arquivo1 = 52 | arquivo2 = 57
Offset 000240: arquivo1 = 7B | arquivo2 = 09
Offset 000241: arquivo1 = D3 | arquivo2 = D4
Offset 000242: arquivo1 = 2C | arquivo2 = 2A
Offset 000244: arquivo1 = A1 | arquivo2 = A3
Offset 000245: arquivo1 = 7E | arquivo2 = 78
Offset 000246: arquivo1 = 06 | arquivo2 = 74
Offset 000247: arquivo1 = 37 | arquivo2 = 32
Offset 000248: arquivo1 = 9F | arquivo2 = ED
Offset 000249: arquivo1 = 4E | arquivo2 = 49
Offset 00024A: arquivo1 = BC | arquivo2 = BB
Offset 00024C: arquivo1 = FB | arquivo2 = F9
Offset 00024D: arquivo1 = FB | arquivo2 = FC
Offset 00024E: arquivo1 = F4 | arquivo2 = 86
Offset 00024F: arquivo1 = 63 | arquivo2 = 66
Offset 000250: arquivo1 = 20 | arquivo2 = 52
Offset 000251: arquivo1 = B1 | arquivo2 = B6
